Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,age,python,Python,SQL,PowerBI,Tableau,AWS
Data Scientist,$60 - $90 Per Hour(Employer est.),"*will work ONSITE 2-3 days each week
The data scientist will report to the Data Science Program Manager. The Data science team will play a pivotal role in planning, executing and delivering machine learning-based projects to improve highway safety, reduce congestion and improve business processes. The bulk of the work will be in machine learning (ML) modeling, management and problem analysis, data exploration and data correlation and clustering.
The newly hired data scientist will be a key interface between the Office of Strategic Innovations and analytics teams and leadership in the business units, and the Information Technology Division. Candidates need to be very much self-driven, curious and creative.
Responsibilities:",,Mint-Technologies,"Richmond, VA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,1,1,60,90,75.0, VA,,0,0,0,0,0,0
Data Scientist,$150K - $180K (Employer est.),"Data Scientist
Location: 100% Remote
Hire type: Fulltime
Job description:
This Data Scientist role will work with the Automation Delivery team, IT business partners, Functional consultants, and infrastructure/technology teams to meet customer requirements. You will focus primarily on the end-to-end delivery of ML/AI use cases from pilot/design to release, driving the evolution of ML/AI infrastructure/process, and enabling Cognitive Automation, AI ChatBot, etc.",4.6,Kani,Remote,201 to 500 Employees,2009.0,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 million (USD),0,1,150,180,165.0,,11.0,0,0,0,0,0,0
Junior Data Scientist,$80K - $120K (Employer est.),"Responsibilities:
Work with stakeholders to determine how to use business data for valuable business solutions.
Search for ways to get new data sources and assess their accuracy.
Browse and analyze enterprise databases to simplify and improve product development, marketing techniques, and business processes.
Create custom data models and algorithms.
Use predictive models to improve customer experience, ad targeting, revenue generation, and more.
Develop the organization’s test model quality and A/B testing framework.",,Talentheed,Remote,,,,,,,0,1,80,120,100.0,,,0,0,0,0,0,0
Data Scientist,$80K - $114K (Glassdoor est.),"Who We’re Looking For

Toyota Motors North America’s (TMNA) Information Technology Department is looking for a Data Scientist for Marketing and Consumer portfolio within the CTO organization.
The primary responsibility of this role is to build machine learning models using marketing and customer data to help personalize Toyota.com website and optimize online marketing campaigns.
Reporting to the Principal Data Scientist, the person in this role will support the Marketing Technology and Analytics department's objective to enable data-driven marketing decisions within the TMNA Marketing Business initiatives.",3.9,Toyota,"Plano, TX",10000+ Employees,1957.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),0,0,80,114,97.0, TX,63.0,0,0,0,0,0,0
Data Scientist,$95K (Employer est.),"Company Description

We’re a six-time “Best Company to Work For,” where intelligent, talented people come together to do outstanding work—and have a lot of fun while they’re at it. Because we’re a full-service consulting firm with a diverse client base, you can count on a steady stream of opportunities to work with cutting-edge technologies on projects that make a real difference.
Logic20/20's Global Delivery Model creates a connected experience for Logicians across geographies. You'll have access to projects in different locations, the technology to support Connected Teams, and in-person and online culture events in our Connected Hub cities.

Job Description",3.8,Logic20/20,"Seattle, WA",201 to 500 Employees,2005.0,Company - Private,Business Consulting,Management & Consulting,$25 to $50 million (USD),0,1,95,95,95.0, WA,15.0,0,0,0,0,0,0
Data Scientist,$100K - $130K (Employer est.),"Tasks (illustrative) – Forecasts and models to inform system capacity planning, including controlling for demographic- or health-related limiting factors; analysis of key performance indicators; throughput analyses; policy impact evaluations
Required Skills (Mathematicians) – Bayesian statistics, Probability theory, linear algebra, combinatorics, graph theory, numerical analysis, moving averages
Required Skills (Data Scientists) – Predictive analytics, ARIMA forecasting, timeseries analyses, linear/non-linear optimization, simulation techniques (e.g., Arena, Monte Carlo); anomaly detection, text distance, geospatial analyses, database modeling (relational and non-relational)
Job Type: Full-time
Pay: $100,000.00 - $130,000.00 per year",,3G,Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable,0,1,100,130,115.0,,,0,0,0,0,0,0
Jr. Data Scientist,$65K - $80K (Employer est.)," Apply Statistical and Machine Learning methods to specific business problems and data.
 Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.
 Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics
 Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.
 Design, develop, evaluate, and release highly innovative models elevate the customer experience and track impact over time",,Net2Aspire,Remote,,,,,,,0,1,65,80,72.5,,,0,0,0,0,1,0
Data Scientist II,$82K - $137K (Employer est.),"Responsibilities:
Principal is seeking a Data Scientist II on our Data Science team within our Data & Analytics Consulting group! On this team you’ll use machine learning/predictive modeling, algorithm development, data inference, financial/quantitative modeling, and optimization to solve analytically complex business problems. Researching and applying knowledge of existing and emerging data science principles, theories, and techniques to inform business decisions.

This individual contributor position is responsible for answering business questions using machine learning techniques, algorithms, and statistical models.
Gathering and integrating large volumes of data, performing analysis, interpreting results, and developing actionable insights and recommendations.
The position is responsible for evaluating statistical/machine learning models to determine validity of analyses, testing models, and developing visualizations to help stakeholders make business decisions.
Qualifications:

Salary Range Information: Salary ranges below reflect targeted base salaries. Non-sales positions have the opportunity to participate in a bonus program. Sales positions are eligible for sales incentives, and in some instances a bonus plan, whereby total compensation may far exceed base salary depending on individual performance. Actual compensation for all roles will be based upon geographic location, work experience, education, licensure requirements and/or skill level and will be finalized at the time of offer. Salary Range: $81700 - $136800 / year Additional Information:",4.0,Principal,"Des Moines, IA",10000+ Employees,1879.0,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),0,1,82,137,109.5, IA,141.0,0,0,0,0,0,0
Data Scientist,$90K - $145K (Employer est.),"Company Description

Sia Partners is a next-generation consulting firm focused on delivering superior value and tangible results to its clients as they navigate the digital revolution. Our global footprint and expertise in more than 40 sectors and services allow us to enhance our clients’ businesses worldwide. We guide their projects and initiatives in strategy, business transformation, IT & digital strategy, and Data Science.
WHY JOIN THE SIA VILLAGE?
Excellence | Entrepreneurship | Innovation | Teamwork | Care & Support | Employee Wellbeing
These are the six core values that guide all our actions. As an expression of our values, our Sia Village concept describes our commitment to fostering a sense of community within and among our offices. We believe that knowledge sharing is the key, not only to innovation, but to the growth and development of our people.",4.0,Sia,"New York, NY",1001 to 5000 Employees,1999.0,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,1,90,145,117.5, NY,21.0,0,0,0,0,0,0
Data Scientist,$70 Per Hour(Employer est.),"Immediate Hiring || DATA SCIENTIST || San Bruno, CA (2 to 3 Months initial remote and then onsite) || c2c
Hai,
I was trying to reach you regarding the role of DATA SCIENTIST | c2c
Please find the job description and let me know your interest on it
Job Title: DATA SCIENTIST
Location: San Bruno, CA (2 to 3 Months initial remote and then onsite)
Position Type: c2c or w2",4.6,Teamware,Remote,1001 to 5000 Employees,2003.0,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,1,1,70,70,70.0,,17.0,0,0,0,0,0,0
Data Scientist,$80K - $180K (Employer est.),"Hi,
Kindly find the below req. & revert me asap if you are comfortable.
Note: As the hiring manager is our company’s W2 & It’s our direct req. so that we can able to get the interview & get placed asap.
(We deal with all our Direct Clients & Preferred vendor requirements )
POSITION : Data Scientist
LOCATION : Remote Position
DURATION : 12+ months
PAY RATE : OPEN
Preferably : W2/1099",,Advansys,Remote,,,,,,,0,1,80,180,130.0,,,0,0,0,0,0,0
Data Scientist,$120K (Employer est.),"About Murmuration/What We Do

Murmuration is a political strategy organization that is transforming the politics of education so that every child can benefit from equal access to equitable and high-quality public schools.

We empower campaigns, advocates, and organizers to better engage and mobilize communities to demand improvements to the public education system. We advise and support our partners in their efforts to plan and execute successful, data-driven electoral, organizing, and advocacy campaigns so that together we can transform the politics of education. And we build political influence, craft strategies, leverage data, and develop technology that enable our partners to accelerate progress, particularly those in traditionally marginalized communities.",5.0,Murmuration,"New York, NY",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,0,1,120,120,120.0, NY,,0,0,0,0,0,0
Data Scientist,$105K - $125K (Employer est.),"Position Title: Data Scientist
Location: Austin, TX
Compensation: 105K – 125K
Full Time – Direct Hire
Powered by technology and compassionate design, Parachute has reimagined the plasma donation experience into one that is easier and friendlier. Using a simple app, our members can book donations and track earnings from the palm of their hand. In using a tech-forward approach, we’re able to offer each member a highly personable and best-in-class experience that’s consistent at each and every visit.
Our vision is to introduce an elevated plasma donation experience to markets with smaller populations that’s grounded in convenience. This model allows us to positively impact the industry supply chain and help patients gain access to the medication they need.",,Join,"Austin, TX",,,,,,,0,1,105,125,115.0, TX,,0,0,0,0,0,0
Data Scientist,$125K - $150K (Employer est.),"GGWP is a fast-paced start-up co-founded by four successful entrepreneurs with the backing of key strategic investors in the video game industry. GGWP aims to curb toxicity in gaming by creating positive, player centric experiences. We are working with popular online video games who are aligned with our mission.
We are seeking talented data scientists to join our team. As a data scientist, you will primarily work with the team to implement new or refine existing AI components to the toxicity system. You will collaborate closely with Engineering and Product teams to identify, test, and support implementation of discovered insights. You may be responsible for querying, exploring, manipulating, refining, linking, and curating data. You will discuss results with colleagues and iteratively refine models as needed. When you conclude that the analysis is ready, you will partner with members of the engineering team to simplify, architect, and implement a solution for scalable deployment. Additionally, you may be part of teams that work with and present analysis directly to game studios.",,GGWP,Remote,,,,,,,0,1,125,150,137.5,,,0,0,0,0,0,0
Data Scientist,$87K - $130K (Glassdoor est.),"Data Scientist
Meet REVOLVE:
REVOLVE is the next-generation fashion retailer for Millennial and Generation Z consumers. As a trusted, premium lifestyle brand, and a go-to online source for discovery and inspiration, we deliver an engaging customer experience from a vast yet curated offering totaling over 45,000 apparel, footwear, accessories and beauty styles. Our dynamic platform connects a deeply engaged community of millions of consumers, thousands of global fashion influencers, and more than 500 emerging, established and owned brands. Through 16 years of continued investment in technology, data analytics, and innovative marketing and merchandising strategies, we have built a powerful platform and brand that we believe is connecting with the next generation of consumers and is redefining fashion retail for the 21st century. For more information please visit www.revolve.com.",3.1,REVOLVE,"Cerritos, CA",1001 to 5000 Employees,2003.0,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$500 million to $1 billion (USD),0,0,87,130,108.5, CA,17.0,0,0,0,0,0,0
DATA SCIENTIST,$93K - $130K (Glassdoor est.),"Notes:
As a UW employee, you will enjoy generous benefits and work/life programs. For detailed information on Benefits for this position, click here.


As a UW employee, you have a unique opportunity to change lives on our campuses, in our state and around the world. UW employees offer their boundless energy, creative problem solving skills and dedication to build stronger minds and a healthier world.

The University of Washington is located in the greater Seattle metropolitan area, with a dynamic, multicultural community of 3.7 million people and a range of ecosystems from mountains to ocean. The UW acknowledges the Coast Salish peoples of this land, the land which touches the shared waters of all tribes and bands within the Suquamish, Tulalip and Muckleshoot nations. The UW serves a diverse population of 80,000 students, faculty and staff, including 25% first-generation college students, over 25% Pell Grant students, and faculty from more than 70 countries.

EarthLab. iis seeking a for research on outdoor recreation and nature-based tourism. The employee will join a team of researchers and practitioners who develop novel methods and information to inform public land management and improve opportunities for outdoor recreation. The successful candidate will advance methods that mix traditional survey methods with data from citizen science, social media, and mobile applications to more effectively measure visitation to public lands and generate fine-scale maps of where and how people recreate outdoors. The Data Scientist will be responsible for developing, improving, and maintaining existing analysis workflows. They will also be involved in many aspects of data management, analysis, and visualization to support projects with academic, governmental, and NGO partners. The successful candidate will be an organized, friendly, self-directed individual who is passionate about working on collaborative projects for social good.

EarthLab is a visionary institute that pushes boundaries to address our most pressing environmental challenges, with a current focus on climate and its intersection with social justice. EarthLab does this by connecting the University of Washington (UW) to communities, businesses, non-profits, public agencies, Tribal nations and others to co-produce actionable research that generates solutions and strategies for local and global impact. EarthLab’s vision, an equitable, just and sustainable world where people and planet thrive, supports one of the University’s biggest goals. As a Carnegie-classified Community Engagement University, the UW aspires to be the #1 university in the world as measured by impact. EarthLab is inspired by and committed to this challenge.



































EarthLab and the University of Washington (UW) are committed to developing a diverse and culturally aware workplace, and the promotion of diversity and inclusivity among our students, faculty, staff, and public. EarthLab acknowledges the systemic racism that exists in the environmental sector and within environmentalism. We believe every member on our team enriches our diversity by exposing us to a broad range of ways to understand and engage with the world, identify challenges, and to discover, design and deliver solutions. We are seeking candidates who are committed to creating an equitable, diverse and inclusive work environment where all voices are considered and valued.

Application Process:




The application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Work Authorization, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select “Apply to this position”. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your “My Jobs” page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready.",4.2,University,"Seattle, WA",10000+ Employees,1861.0,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),0,0,93,130,111.5, WA,159.0,0,0,0,0,0,0
Associate Data Scientist,$92K - $129K (Glassdoor est.),"There is a place for you at T. Rowe Price to grow, contribute, learn, and make a difference. We are a premier asset manager focused on delivering global investment management excellence and retirement services that investors can rely on today and in the future. The work we do matters. We invite you to explore the opportunity to join us and grow your career with us.
Associate Data Scientist
For 80 years, T. Rowe Price has changed the investment management industry by delivering world-class service and guidance to individuals and institutions around the globe. Our shared values enable us to create a dynamic workplace that cultivates high achievement from diverse professionals in a variety of disciplines. Built on a tradition of integrity, we are committed to our clients and employees and focused on sustained growth and success.
We’re seeking dedicated associate data scientists to support and contribute to the Data Science project life cycle for the firm. You will recommend and develop technical solutions based on partnerships with business stakeholders with guidance from senior data scientists. This is a chance to create an impact on our business as a part of a broader technology transformation!",3.7,T.,"New York, NY",5001 to 10000 Employees,1937.0,Company - Public,Investment & Asset Management,Financial Services,$2 to $5 billion (USD),0,0,92,129,110.5, NY,83.0,0,0,0,0,0,0
"Data Scientist, Data Science & Modeling",$78K - $191K (Employer est.),"Merrick Bank employees share in our mission to delight our customers and empower underserved consumers to achieve their credit goals. In return, we delight our associates; ensuring they are noticed, heard, appreciated and understand the importance of their role(s). For over 20 years, our Guiding Principles of; doing the right thing, putting the customer first, and Earn, Learn, Have Fun (aka E.L.F.), have defined who we are as an Employer of Choice. Give Yourself Credit, Work at Merrick!
The Data Scientist position will work closely with the other Data Scientists and Data Engineers on the team to produce the machine learning models, statistical models, and complex statistical analyses for the bank. This position works on state of the art problems, using state of the art systems, on a team with dozens of years of combined expertise and experience that truly believes in team work, as well as individual growth and development.
Data Science is a cross disciplinary field, which aims to combine statistical methods with computer science and business domain knowledge. A data scientist will have experience deploying statistical methods and machine learning to derive actionable insights, data visualizations, and models often from disparate data sources, and be able to communicate those learnings to management. They will also understand how to deploy predictive models into key business processes in order to improve the efficiency and efficacy of such processes.",3.1,CardWorks,"South Jordan, UT",501 to 1000 Employees,1987.0,Company - Private,Banking & Lending,Financial Services,$50 to $100 million (USD),0,1,78,191,134.5, UT,33.0,0,0,0,0,0,0
Data Scientist,$105K - $115K (Employer est.),"WHAT WE WANT
FriendFinder Networks is looking for a Data Scientist with the primary responsibility to query and analyze large disparate datasets looking for relationships and trends typically related to increasing revenue, improving membership conversions, fraud detection and prevention, and providing actionable insights for solutions to business problems. You will communicate your findings and make presentations to senior management on a regular basis. Your contributions will ensure FriendFinder Networks will continue to provide our customers the best possible user experience for everyone who visits our web sites 24 hours a day, every day of the year, all over the world.
WHAT YOU WILL DO
Analyze complex data to provide recommendations for maximizing profitable revenue, traffic conversion opportunities, and reducing costs to support business objectives",3.0,FriendFinder,Remote,201 to 500 Employees,1996.0,Company - Private,Internet & Web Services,Information Technology,$25 to $50 million (USD),0,1,105,115,110.0,,24.0,0,0,0,0,0,0
Data Scientist-On site,$77K - $117K (Glassdoor est.),"Your Responsibilities
As a Soil Scientist for John Deere Intelligent Solutions Group (ISG) located in the Research Park at Champaign, llinois, you will:
Develop complex soil models to measure soil moisture.
Develop and perform tests to evaluate the performance of technologies in measuring the physical, chemical, and biological traits of soil in lab and field settings
Collect and analyze data related to those tests
Perform lab and field work to measure soil attributes and calibrate technologies
What Skills You Need",3.6,TTI,"Champaign, IL",1001 to 5000 Employees,1976.0,Company - Public,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD),0,0,77,117,97.0, IL,44.0,0,0,0,0,0,0
